鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
西屯區,房地(土地+建物)+車位,臺中市西屯區臺灣大道三段661~690號,33.88,商,,,1090221,土地1建物1車位2,六層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031204,434.12,5,2,4,有,有,38360000,93421,坡道平面,59.9,3400000,,RPPNMLLJNHPFFCB77EA
西屯區,房地(土地+建物)+車位,臺中市西屯區皇城街31~60號,28.9,住,,,1090301,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960625,180.51,3,2,2,有,有,8200000,45427,坡道平面,0.0,0,親友、員工或其他特殊關係間之交易。;,RPVNMLKMLHPFFCB28DA
清水區,土地,光華段181~210地號,85.0,住,,,1090207,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6000000,70588,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPRNMLQLLHPFFFB68DA
北區,房地(土地+建物),臺中市北區賴厝街31~60號,34.86,商,,,1090214,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691027,106.87,3,1,2,有,無,1701257,15919,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPWRMLRLLHPFFBB66DA
大肚區,房地(土地+建物),臺中市大肚區大明三街151~180號,92.39,住,,,1090217,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0900328,150.82,4,2,3,有,無,8330000,55231,,0.0,0,含增建或未登記建物。;含增建或未登記建物。,RPOOMLKKMHPFFKB28CA
龍井區,土地,中山段1201~1230地號,1048.0,住,,,1090214,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,22191400,21175,,0.0,0,,RPVOMLRJMHPFFKB96CA
大肚區,房地(土地+建物),臺中市大肚區榮華街70巷1~30號,82.57,住,,,1090226,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1071003,177.1,5,2,3,有,無,8610000,48617,,0.0,0,畸零地或有合併使用之交易。;有合併使用之交易。,RPOOMLRJMHPFFKB88CA
大肚區,房地(土地+建物),臺中市大肚區中沙路164巷4弄91~120號,42.83,,鄉村區,乙種建築用地,1090215,土地1建物1車位0,一層,見其他登記事項,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690208,74.68,3,1,2,有,無,6000000,80343,,0.0,0,含增建或未登記建物。;,RPQNMLQLLHPFFKB98CA
太平區,房地(土地+建物),臺中市太平區立智街1~30號,13.24,商,,,1090218,土地1建物1車位0,九層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021230,104.34,2,1,1,有,有,6080000,58271,,0.0,0,,RPOOMLRKMHPFFJB88CA
太平區,房地(土地+建物),臺中市太平區德隆路241~270號,20.77,,鄉村區,乙種建築用地,1090223,土地1建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071019,95.36,2,1,1,有,有,4500000,47190,,0.0,0,,RPVNMLQKMHPFFJB76CA
太平區,房地(土地+建物)+車位,臺中市太平區新福路871~900號,22.09,住,,,1080124,土地2建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081106,148.26999999999998,3,1,2,有,無,8800000,62071,坡道平面,25.83,1200000,,RPQNMLNKMHPFFJB58CA
太平區,房地(土地+建物)+車位,臺中市太平區新福路871~900號,22.04,住,,,1090215,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081106,148.26999999999998,3,1,2,有,無,9300000,66155,坡道平面,25.83,1200000,,RPRNMLNKMHPFFJB68CA
太平區,房地(土地+建物)+車位,臺中市太平區新福路871~900號,27.11,住,,,1090222,土地1建物1車位2,五層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081106,202.03,3,1,2,有,無,11800000,61182,坡道平面,51.66,2600000,,RPSNMLNKMHPFFJB78CA
龍井區,房地(土地+建物)+車位,臺中市龍井區新興路59巷1~30號,18.53,,鄉村區,乙種建築用地,1090303,土地2建物1車位1,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0801104,143.14,4,2,2,有,有,4590000,32067,坡道機械,0.0,0,,RPXNMLQLLHPFFKB07CA
太平區,房地(土地+建物),臺中市太平區中平路29巷1~30號,67.25,住,,,1080224,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1081205,189.36,5,2,5,有,有,16800000,88720,,0.0,0,,RPSNMLKLMHPFFJB58CA
龍井區,房地(土地+建物)+車位,臺中市龍井區新仁路22巷61~90號,33.83,,鄉村區,乙種建築用地,1090306,土地1建物1車位1,四層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080402,158.19,3,2,2,有,有,7750000,55543,坡道機械,25.86,400000,,RPTNMLLJMHPFFKB68CA
