鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
林口區,房地(土地+建物),新北市林口區麗園一街9巷1~30號,46.91,住,,,1090117,土地1建物1車位0,二層,十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0840411,184.87,4,1,2,有,有,9800000,53010,,0.0,0,親友、員工或其他特殊關係間之交易。;車位為使用權，一年抽籤一次,RPTTMLRLLHPFFBF86CA
新莊區,房地(土地+建物)+車位,新北市新莊區雙鳳路77巷1~30號,18.21,住,,,1090107,土地1建物1車位1,十四層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050704,188.39,4,2,2,有,有,19450000,114516,坡道平面,36.01,2000000,,RPVOMLRLLHPFFBF56CA
林口區,房地(土地+建物)+車位,新北市林口區文化三路一段249巷1~30號,22.95,住,,,1090314,土地1建物1車位1,五層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0951218,110.67999999999999,2,1,1,有,有,8700000,78605,坡道機械,0.0,0,,RPQPMLRLLHPFFBF78CA
五股區,房地(土地+建物)+車位,新北市五股區新五路三段271~300號,20.47,商,,,1090307,土地1建物1車位1,四層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080319,165.9,3,2,2,有,有,13080000,87001,坡道平面,37.97,1950000,,RPWQMLQLLHPFFBF76CA
五股區,房地(土地+建物)+車位,新北市五股區新五路三段271~300號,16.49,商,,,1081124,土地1建物1車位1,四層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080319,140.91,2,2,1,有,有,10150000,80629,坡道平面,37.97,1850000,,RPXQMLQLLHPFFBF86CA
新莊區,房地(土地+建物),新北市新莊區中誠街142巷1~30號,21.9,住,,,1090227,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660825,73.68,2,2,1,有,無,5200000,70575,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPOOMLRLLHPFFBF48CA
新莊區,房地(土地+建物),新北市新莊區中原路91~120號,14.84,住,,,1090227,土地1建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850718,123.22,3,2,2,有,無,13000000,105502,,0.0,0,,RPPOMLRLLHPFFBF58CA
土城區,房地(土地+建物),新北市土城區廣明街23巷1~30號,29.21,住,,,1090305,土地1建物1車位0,五層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691105,88.67,3,2,1,有,無,7500000,84583,,0.0,0,,RPSPMLMLMHPFFAF48CA
土城區,房地(土地+建物),新北市土城區裕生路21巷6弄1~30號,13.21,住,,,1090206,土地1建物1車位0,一層，地下一層,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0840407,85.73,0,0,0,無,無,9800000,114312,,0.0,0,二等親買賣、無隔間有一套衛浴,RPUNMLNLMHPFFAF58CA
林口區,房地(土地+建物)+車位,新北市林口區南勢二街361~390號,32.73,住,,,1090223,土地1建物1車位1,一層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0971212,140.48000000000002,2,2,1,有,有,12000000,85421,坡道平面,34.79,0,含增建或未登記建物。;,RPXOMLQLLHPFFBF66CA
五股區,房地(土地+建物)+車位,新北市五股區芳洲五路1~30號,51.21,住,,,1090312,土地1建物1車位2,十七層,二十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1031117,298.61,4,2,2,有,有,24110000,85206,坡道平面,57.9,3600000,,RPXPMLQLLHPFFBF76CA
五股區,房地(土地+建物)+車位,新北市五股區新五路三段211~240號,15.87,商,,,1090226,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060915,146.83999999999997,2,1,1,有,有,10450000,87719,升降平面,42.53,1300000,,RPTRMLLJMHPFFBF58CA
新莊區,房地(土地+建物),新北市新莊區永樂街151~180號,10.73,住,,,1090311,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0620828,13.6,3,2,2,有,無,1800000,132353,,0.0,0,親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;,RPRPMLLJMHPFFBF18CA
五股區,房地(土地+建物)+車位,新北市五股區成泰路一段1~30號,9.73,住,,,1090218,土地1建物1車位1,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931118,105.16,2,2,1,有,有,7300000,69418,坡道平面,23.39,0,,RPOOMLLMLHPFFBF97CA
新莊區,房地(土地+建物),新北市新莊區昌盛街35巷2弄1~30號,20.26,住,,,1090201,土地1建物1車位0,一層，平台,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0660202,69.62,3,1,1,有,無,7650000,109882,,0.0,0,,RPWOMLRJMHPFFBF56CA
新莊區,房地(土地+建物)+車位,新北市新莊區中原東路61~90號,17.43,住,,,1081224,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080528,128.94,2,2,1,有,有,15050000,139547,坡道平面,36.14,2100000,土地及建物分次登記案件。前案土地登記收件字號：;,RPWQMLRJMHPFFBF76CA
新莊區,房地(土地+建物),新北市新莊區中港路615巷1~30號,34.09,住,,,1090221,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0761125,127.22,3,2,2,有,無,10760000,84578,,0.0,0,含增建或未登記建物。;,RPROMLRJMHPFFBF68CA
泰山區,房地(土地+建物)+車位,新北市泰山區福興二街1~30號,22.99,住,,,1090203,土地1建物1車位1,六層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0920313,144.17000000000002,3,2,2,有,有,13000000,90171,坡道平面,27.33,0,,RPOOMLKKMHPFFBF77CA
新莊區,房地(土地+建物),新北市新莊區中港路151~180號,18.8,住,,,1090222,土地3建物1車位0,十九層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1080611,130.59,3,2,2,有,有,19360000,148250,,0.0,0,,RPTOMLLKMHPFFBF38CA
新莊區,房地(土地+建物)+車位,新北市新莊區中港路151~180號,19.21,住,,,1090302,土地3建物1車位1,八層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1080611,166.24,3,2,2,有,有,20850000,142048,坡道平面,35.65,2300000,,RPUOMLLKMHPFFBF48CA
新莊區,房地(土地+建物)+車位,新北市新莊區中港路151~180號,13.43,住,,,1090314,土地3建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1080611,115.91,2,2,1,有,有,14010000,142487,坡道機械,27.06,1350000,,RPVOMLLKMHPFFBF58CA
新莊區,建物,新北市新莊區中平路241~270號,0.0,,,,1081220,土地0建物1車位1,六層,二十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081028,203.35000000000002,4,2,2,有,有,9720000,47799,坡道平面,33.7,0,建商與地主合建案。;如係由義務人自行提供成交案件實際資訊及建物現況格局，供地政士申報登錄。土地移轉為夫妻贈與,RPPQMLSJMHPFFBF78CA
五股區,房地(土地+建物)+車位,新北市五股區登林路91~120號,20.89,住,,,1090110,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080215,141.38,3,2,2,有,無,14900000,120438,坡道平面,31.78,1700000,,RPUOMLSJMHPFFBF09CA
