鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
蘆竹區,土地,上興段841~870地號,317.3,其他,,,1090121,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15000000,47274,,0.0,0,,RPOOMLSJMHPFFEH98CA
蘆竹區,土地,坑子外段外社小段661~690地號,12.15,其他,,,1090304,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,19000,1564,,0.0,0,,RPTNMLOJMHPFFEH98CA
蘆竹區,土地,坑子外段外社小段661~690地號,10.92,其他,,,1090304,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16600,1520,,0.0,0,,RPUNMLOJMHPFFEH09CA
蘆竹區,土地,坑子外段外社小段661~690地號,337.64,其他,,,1090304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,510000,1510,,0.0,0,,RPVNMLOJMHPFFEH56CA
大園區,土地,五塊厝段下埔小段1501~1530地號,457.0,,特定農業區,農牧用地,1070403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11750000,25711,,0.0,0,,RPSNMLRJMHPFFEH56CA
蘆竹區,土地,坑子口段後壁厝小段391~420地號,250.63,,一般農業區,水利用地,1090121,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1516000,6049,,0.0,0,,RPOOMLLMLHPFFEH48CA
大園區,土地,埔心段三塊厝小段451~480地號,24.19,,特定農業區,農牧用地,1090316,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,480000,19843,,0.0,0,,RPRNMLQLLHPFFEH09CA
大園區,土地,橫山段尖山小段61~90地號,406.8,,特定農業區,農牧用地,1090109,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5880000,14454,,0.0,0,,RPPNMLRLLHPFFEH98CA
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區中正路151~180號,13.26,住,,,1090302,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930325,152.94,4,2,2,有,有,11300000,73890,坡道平面,20.23,0,,RPPOMLPLLHPFFEH88CA
大園區,土地,內海墘段811~840地號,7735.0,,一般農業區,農牧用地,1090131,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,107630000,13915,,0.0,0,,RPXOMLPLLHPFFEH07CA
大園區,土地,沙崙段沙崙小段121~150地號,352.0,,一般農業區,甲種建築用地,1090227,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16800000,47727,,0.0,0,,RPOPMLPLLHPFFEH88CA
大園區,土地,沙崙段沙崙小段271~300地號,429.67,,一般農業區,甲種建築用地,1090311,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,22780000,53017,,0.0,0,,RPPPMLPLLHPFFEH98CA
蘆竹區,土地,八股段631~660地號,205.97,,特定農業區,甲種建築用地,1090304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10800000,52435,,0.0,0,,RPUOMLPLLHPFFEH76CA
大園區,土地,大牛稠段倒厝子小段1171~1200地號,1590.0,,特定農業區,農牧用地,1090213,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,30707000,19313,,0.0,0,,RPROMLQLLHPFFEH56CA
大園區,土地,橫山段尖山小段31~60地號,1341.0,,特定農業區,農牧用地,1090120,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,35697000,26620,,0.0,0,,RPXOMLQLLHPFFEH17CA
大園區,土地,橫山段尖山小段31~60地號,1341.0,,特定農業區,農牧用地,1090120,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,35697000,26620,,0.0,0,,SPXOMLQLLHPFFEH27CA
大園區,土地,橫山段尖山小段31~60地號,938.0,,特定農業區,農牧用地,1090120,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,24969000,26619,,0.0,0,,TPXOMLQLLHPFFEH37CA
大園區,土地,沙崙段坡堵小段421~450地號,286.0,,一般農業區,甲種建築用地,1090304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14550000,50874,,0.0,0,,RPPNMLPLLHPFFEH78CA
大園區,土地,沙崙段沙崙小段301~330地號,585.0,,一般農業區,甲種建築用地,1090304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,26950000,46068,,0.0,0,,RPQNMLPLLHPFFEH88CA
新屋區,房地(土地+建物),桃園市新屋區新洲三街1~30號,141.3,住,,,1090312,土地1建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1060216,345.68,5,3,6,有,無,18800000,54386,,0.0,0,,RPRNMLLLMHPFFDH58CA
楊梅區,房地(土地+建物)+車位,桃園市楊梅區永寧路1巷1~30號,26.25,住,,,1090214,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970725,144.68,3,2,2,有,有,6300000,43544,坡道平面,0.0,0,,RPVNMLPKMHPFFDH66CA
楊梅區,土地,楊梅段181~210地號,1.9,其他,,,1090305,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,79625,41908,,0.0,0,案係桃園市政府與土地所有權人間之協議價購案件。,RPQOMLMLMHPFFDH68CA
楊梅區,房地(土地+建物),桃園市楊梅區新農街561巷61~90號,17.05,住,,,1090220,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0860217,71.59,2,2,1,有,無,2420000,33804,,0.0,0,,RPRNMLTJMHPFFDH56CA
楊梅區,房地(土地+建物),桃園市楊梅區裕成路192巷1弄1~30號,132.0,,山坡地保育區,丙種建築用地,1090229,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0710720,138.8,3,3,3,有,無,8100000,58357,,0.0,0,,RPXNMLRJMHPFFDH96CA
楊梅區,房地(土地+建物)+車位,桃園市楊梅區永平路181~210號,34.21,住,,,1090215,土地1建物1車位1,一層，地下層,七層,店面(店鋪),見其他登記事項,鋼筋混凝土造,0830316,189.03,0,0,0,無,無,3650000,19309,坡道平面,0.0,0,,RPTNMLQLLHPFFDH56CA
楊梅區,房地(土地+建物),桃園市楊梅區福人路106巷1~30號,120.21,,山坡地保育區,丙種建築用地,1090211,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0840626,204.66,5,2,4,有,無,6120000,29903,,0.0,0,,RPPOMLPLLHPFFDH78CA
楊梅區,房地(土地+建物)+車位,桃園市楊梅區文化街218巷7弄1~30號,77.12,住,,,1090221,土地2建物1車位1,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0950530,189.88,3,2,3,有,有,9500000,50032,一樓平面,0.0,0,,RPQNMLQLLHPFFDH88CA
新屋區,土地,富九段1231~1260地號,992.74,,特定農業區,甲種建築用地,1081214,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,20000000,20146,,0.0,0,含增建或未登記建物。;,RPRNMLQLLHPFFDH98CA
龍潭區,房地(土地+建物),桃園市龍潭區福源路136巷519弄31~60號,830.54,,山坡地保育區,農牧用地,1090306,土地3建物2車位0,全,五層,透天厝,住商用,鋼筋混凝土造,0850426,569.51,6,6,6,有,無,8400000,14750,,0.0,0,,RPRPMLTJMHPFFCH66CA
