鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
萬華區,房地(土地+建物),臺北市萬華區長沙街二段61~90號,11.69,商,,,1090219,土地1建物1車位0,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950127,134.23,3,2,2,有,有,21680000,161514,,0.0,0,含增建或未登記建物。;,RPRNMLOLLHPFFBA87CA
大同區,車位,臺北市大同區敦煌路80巷1~30號,0.05,住,,,1090313,土地0建物0車位1,地下一層，一層,九層,其他,見使用執照,鋼筋混凝土造,0890112,10.4,0,0,0,有,有,870000,,升降機械,0.0,0,單獨車位交易。;,RPTOMLOLLHPFFBA18CA
萬華區,房地(土地+建物),臺北市萬華區雙園街40巷1~30號,25.25,住,,,1090224,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0601203,60.69,1,1,0,有,無,11000000,181249,,0.0,0,含增建或未登記建物。;,RPPNMLPLLHPFFBA77CA
大同區,房地(土地+建物),臺北市大同區重慶北路二段114巷1~30號,15.4,商,,,1081229,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700718,63.08,2,1,1,有,無,9160000,145212,,0.0,0,含增建或未登記建物。,RPUNMLPLLHPFFBA28CA
中正區,房地(土地+建物),臺北市中正區臨沂街75巷1~30號,36.14,住,,,1090226,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0731114,157.02,3,2,2,有,有,17000000,108266,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPPMLPLLHPFFBA97CA
萬華區,房地(土地+建物),臺北市萬華區桂林路244巷31~60號,8.88,住,,,1090229,土地1建物1車位0,全,二層,透天厝,,加強磚造,,13.38,3,2,2,有,無,2000000,149477,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPOMLQLLHPFFBA97CA
大同區,房地(土地+建物)+車位,臺北市大同區萬全街1~30號,14.09,商,,,1090204,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041016,186.61,3,1,2,有,有,34329898,183966,坡道平面,46.87,0,向政府機關承購之案件。;,RPXOMLQLLHPFFBA78CA
大同區,房地(土地+建物),臺北市大同區重慶北路二段121~150號,57.75,商,,,1090310,土地2建物1車位0,全,三層,透天厝,,加強磚造,,135.71,4,2,3,有,無,60000000,442119,,0.0,0,,RPSOMLKMLHPFFBA77CA
萬華區,房地(土地+建物)+車位,臺北市萬華區艋舺大道275巷1~30號,17.98,其他,,,1090202,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080416,154.01,3,2,2,有,有,26500000,172067,坡道平面,34.74,0,,RPVOMLLMLHPFFBA18CA
中正區,房地(土地+建物)+車位,臺北市中正區仁愛路二段8巷1~30號,41.0,商,,,1090108,土地2建物1車位6,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060411,559.5799999999999,0,0,0,無,有,126000000,295394,坡道平面,177.04,13000000,1.本案為毛胚屋。2.連件買賣案件。,RPVPMLRJMHPFFBA68CA
