鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
內湖區,房地(土地+建物),臺北市內湖區民權東路六段180巷42弄1~30號,8.11,商,,,1090223,土地1建物1車位0,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070718,90.08,1,1,1,有,有,19000000,210924,,0.0,0,,RPSPMLOKMHPFFCA28CA
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段180巷42弄1~30號,10.1,商,,,1090109,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070718,140.68,1,1,1,有,有,22800000,199217,坡道平面,41.04,2950000,,RPPQMLOKMHPFFCA08CA
士林區,房地(土地+建物)+車位,臺北市士林區中山北路五段691~720號,18.29,住,,,1090215,土地2建物1車位1,九層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1080730,212.04,3,2,2,有,有,56000000,264101,坡道平面,38.1,0,,RPVNMLQLLHPFFEA78CA
北投區,房地(土地+建物)+車位,臺北市北投區磺港路121~150號,30.98,住,,,1050809,土地1建物1車位2,九層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080725,288.6,3,2,2,有,有,43270000,181711,坡道平面,76.34,4700000,,RPVPMLQLLHPFFEA98CA
北投區,房地(土地+建物)+車位,臺北市北投區磺港路121~150號,31.9,住,,,1041024,土地1建物1車位1,四層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080725,256.94,4,2,3,有,有,40000000,173927,坡道平面,38.17,1950000,,RPWPMLQLLHPFFEA09CA
北投區,房地(土地+建物)+車位,臺北市北投區磺港路121~150號,23.15,住,,,1080617,土地1建物1車位1,八層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080725,196.86,3,2,2,有,有,29070000,168379,坡道平面,38.17,2350000,,RPTOMLRLLHPFFEA78CA
大安區,房地(土地+建物)+車位,臺北市大安區金山南路二段181~210號,20.16,住,,,1090205,土地4建物1車位1,十八層,二十四層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1080910,176.17,3,2,2,有,有,62500000,452772,坡道平面,45.42,3300000,土地及建物分次登記案件。前案土地登記收件字號：;,RPRNMLTLLHPFFFA78CA
北投區,房地(土地+建物)+車位,臺北市北投區溫泉路37巷1~30號,11.41,住,,,1090211,土地2建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941111,74.94999999999999,1,2,1,有,有,7500000,121619,坡道機械,19.86,800000,含增建或未登記建物。,RPURMLQLLHPFFEA56DA
中山區,房地(土地+建物),臺北市中山區民權東路三段31~60號,8.05,商,,,1090228,土地1建物1車位0,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0731109,71.7,2,2,1,有,有,16300000,227336,,0.0,0,,RPOOMLLJMHPFFCA47DA
北投區,房地(土地+建物)+車位,臺北市北投區磺港路121~150號,21.9,住,,,1090109,土地1建物1車位1,十三層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080725,188.35000000000002,3,2,2,有,有,29980000,184312,坡道平面,38.17,2300000,,RPVOMLRLLHPFFEA98CA
