鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
鼓山區,房地(土地+建物),高雄市鼓山區華豐街120巷1~30號,26.8,住,,,1090216,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0690405,89.94,3,2,2,有,無,2900000,32244,,0.0,0,,RPTOMLQLLHPFFAE68CA
鼓山區,房地(土地+建物),高雄市鼓山區華寧路1~30號,36.42,住,,,1090223,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0751125,135.9,4,2,2,有,無,3420000,25166,,0.0,0,,RPXNMLLMLHPFFAE58CA
鼓山區,房地(土地+建物),高雄市鼓山區葆禎一街31~60號,76.0,住,,,1090307,土地1建物1車位0,全,三層,透天厝,,鋼筋混凝土造,0640927,142.62,3,2,3,有,無,2700000,18931,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQOMLLMLHPFFAE97CA
鼓山區,房地(土地+建物),高雄市鼓山區龍水里美術南五街181~210號,9.95,住,,,1090305,土地1建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040409,94.82,2,2,1,有,有,6800000,71715,,0.0,0,,RPSNMLKKMHPFFAE87CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術北五街61~90號,18.7,住,,,1090202,土地1建物1車位2,八層,二十九層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071213,234.82,3,2,2,有,有,21970000,94048,坡道平面,41.62,3800000,,RPTNMLQJMHPFFAE48CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術北五街61~90號,18.6,住,,,1090112,土地1建物1車位2,十一層,二十九層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071213,242.78,3,2,2,有,有,22920000,96643,坡道平面,36.66,3000000,,RPUNMLQJMHPFFAE58CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術北五街61~90號,18.9,住,,,1081227,土地1建物1車位2,九層,二十九層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071213,245.25,3,2,2,有,有,22790000,92926,坡道平面,39.14,0,,RPVNMLQJMHPFFAE68CA
鹽埕區,房地(土地+建物),高雄市鹽埕區公園二路1~30號,34.67,住,,,1090209,土地2建物1車位0,一層,七層,華廈(10層含以下有電梯),,鋼筋混凝土造,0730721,140.6,4,2,2,有,無,8880000,63158,,0.0,0,,RPVOMLQJMHPFFAE78CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區青海路301~330號,30.98,住,,,1090314,土地1建物1車位2,四層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030120,338.8,3,2,2,有,有,27000000,79693,坡道平面,55.7,0,,RPTNMLKLMHPFFAE08CA
苓雅區,房地(土地+建物),高雄市苓雅區三多二路211~240號,7.34,商,,,1090226,土地2建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0700225,72.21,3,2,1,有,有,2680000,37114,,0.0,0,,RPUPMLQLLHPFFBE98CA
苓雅區,房地(土地+建物),高雄市苓雅區英明路260巷22弄1~30號,31.1,住,,,1090307,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0681224,87.05,3,2,2,有,無,4700000,53992,,0.0,0,,RPVPMLQLLHPFFBE09CA
苓雅區,房地(土地+建物),高雄市苓雅區新光路62巷1~30號,5.85,商,,,1090311,土地1建物1車位0,十七層,三十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,137.62,3,1,2,有,無,4800000,34879,,0.0,0,,RPTOMLRLLHPFFBE88CA
苓雅區,房地(土地+建物),高雄市苓雅區七賢一路1~30號,3.94,住,,,1090316,土地1建物1車位0,十一層,十二層,套房(1房1廳1衛),,鋼筋混凝土造,0710802,25.5,0,0,0,無,有,1580000,61961,,0.0,0,,RPOPMLKMLHPFFBE87CA
苓雅區,房地(土地+建物),高雄市苓雅區光華一路301~330號,3.48,商,,,1090227,土地1建物1車位0,八層,十四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0860709,39.910000000000004,1,1,1,有,有,2500000,62641,,0.0,0,,RPQOMLKMLHPFFBE97CA
苓雅區,房地(土地+建物),高雄市苓雅區憲政路290巷3弄1~30號,109.91,住,,,1090221,土地2建物1車位0,全,二層,透天厝,,加強磚造,0650305,131.88,6,2,3,有,無,15000000,113740,,0.0,0,含增建3層樓及其他未保存登記部分,RPXOMLLJMHPFFBE58CA
新興區,房地(土地+建物),高雄市新興區復橫一路181~210號,13.15,商,,,1090219,土地1建物1車位0,七層，走廊,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821220,77.71000000000001,2,2,2,有,有,4550000,58551,,0.0,0,,RPOOMLKKMHPFFBE67CA
